Configuración,Neuronas ocultas,tasa de aprendizaje,unbalanced data,missing data,split ration,Tiempo de entrenamiento,Error sobre entrenamiento,Error sobre prueba,Numero de iteraciones,Correctos en entrenamiento,Tamaño entrenamiento,Correctos en prueba,Tamaño prueba,positivos en entrenamiento,positivos en prueba
50,7,0.2,,zero,0.5,60.007600644,0.250562037734659,0.2530164039893155,355,310,559,308,558,243,250
51,7,0.2,,zero,0.7,60.125551513,0.24779046836697924,0.2515566456417117,256,439,782,181,335,339,154
52,7,0.2,,mean,0.3,60.09733344,0.2561344499319686,0.25725289714812083,597,169,335,339,782,154,339
53,7,0.2,,mean,0.5,60.122911266,0.2533434528455879,0.2507497855976813,360,295,559,241,558,252,241
54,7,0.2,,mean,0.7,60.134016168,0.2511002692305255,0.2412904052443476,255,417,782,199,335,357,136
55,7,0.3,,zero,0.3,60.025478266,0.24382713872732933,0.24604110328965625,606,202,335,434,782,138,355
56,7,0.3,,zero,0.5,60.085481778,0.2543701272650742,0.25841989169789625,357,310,559,236,558,257,236
57,7,0.3,,zero,0.7,60.185714542,0.2545060872194302,0.24669604851672297,254,420,782,192,335,350,143
58,7,0.3,,mean,0.3,60.038039973,0.2566830659895333,0.24642739026087848,600,170,335,438,782,148,345
59,7,0.3,,mean,0.5,60.082530116,0.2570995494127906,0.2548371411248021,359,294,559,304,558,239,254
60,7,0.3,,mean,0.7,60.070357966,0.2510809039760671,0.24923424048995954,254,420,782,194,335,352,141
61,8,0.01,,zero,0.3,60.091896749,0.23924229072924144,0.24940867102961797,529,200,335,424,782,135,358
62,8,0.01,,zero,0.5,60.036837427,0.24780559162559634,0.24598309579568042,317,309,559,315,558,250,243
63,8,0.01,,zero,0.7,60.179816627,0.2460765228389161,0.2510017813589521,226,444,782,180,335,338,155
64,8,0.01,,mean,0.3,60.027300143,0.24408573977968864,0.2430339612352071,518,191,335,448,782,149,344
65,8,0.01,,mean,0.5,60.109898116,0.2452962268017101,0.24764096743472838,312,321,559,308,558,242,251
66,8,0.01,,mean,0.7,60.245730801,0.24729572005738637,0.2443650417905723,225,433,782,193,335,351,142
67,8,0.05,,zero,0.3,60.065476642,0.2457613324453629,0.2463813104254107,529,187,335,446,782,153,340
68,8,0.05,,zero,0.5,60.104697746,0.2459079902693601,0.25938969932465883,318,322,559,302,558,237,256
69,8,0.05,,zero,0.7,60.188732954,0.25068559519339967,0.2486036072580264,226,415,782,198,335,356,137
70,8,0.05,,mean,0.3,60.012634623,0.24691114931111952,0.2506949099820057,520,181,335,434,782,145,348
71,8,0.05,,mean,0.5,60.054906186,0.24837940729599495,0.24659336639053078,313,309,559,316,558,251,242
72,8,0.05,,mean,0.7,60.071528463,0.24889280460499863,0.24764985888275498,225,427,782,186,335,344,149
73,8,0.1,,zero,0.3,60.03788017,0.24865002860646213,0.2530287944390374,523,194,335,430,782,141,352
74,8,0.1,,zero,0.5,60.015508241,0.2439702358270621,0.24370059546747233,316,308,559,314,558,244,249
75,8,0.1,,zero,0.7,60.112375208,0.24804421167162216,0.2615028691515263,223,420,782,185,335,343,150
76,8,0.1,,mean,0.3,60.049992253,0.24357391375855586,0.24811822329645553,520,196,335,427,782,138,355
77,8,0.1,,mean,0.5,60.18041455,0.25385730458153416,0.24329762411740635,313,277,559,325,558,260,233
78,8,0.1,,mean,0.7,60.207055016,0.24514750686808595,0.25822128403150324,225,452,782,170,335,328,165
79,8,0.2,,zero,0.3,60.039501592,0.2496649676686984,0.2477724004760853,523,194,335,437,782,147,346
