Configuración,Neuronas ocultas,tasa de aprendizaje,unbalanced data,missing data,split ration,Tiempo de entrenamiento,Error sobre entrenamiento,Error sobre prueba,Numero de iteraciones,Correctos en entrenamiento,Tamaño entrenamiento,Correctos en prueba,Tamaño prueba,positivos en entrenamiento,positivos en prueba
49,7,0.2,,zero,0.3,60.031939743,0.15962748746340658,0.16790402107326718,1557,150,187,343,437,150,343
50,7,0.2,,zero,0.5,60.016356108,0.17187373540759454,0.16844272637320096,917,244,312,249,312,244,249
51,7,0.2,,zero,0.7,60.031723053,0.17486162808596983,0.14770683235494264,667,339,437,154,187,339,154
52,7,0.2,,mean,0.3,60.010460182,0.16750889394681961,0.16654497203921637,1559,148,187,345,437,148,345
53,7,0.2,,mean,0.5,60.045774116,0.17755449931422432,0.1582443175719608,951,242,312,251,312,242,251
54,7,0.2,,mean,0.7,60.051683435,0.16840700743767764,0.162041564269191,669,344,437,149,187,344,149
55,7,0.3,,zero,0.3,60.018728166,0.18147901719158713,0.16309346253829093,1594,143,187,349,437,144,349
56,7,0.3,,zero,0.5,60.003961141,0.1705240548338451,0.17469063430442078,921,245,312,248,312,245,248
57,7,0.3,,zero,0.7,60.081961038,0.17120878436009132,0.15977985146290216,662,343,437,150,187,343,150
58,7,0.3,,mean,0.3,60.010817378,0.1683114770839254,0.1649268591924201,1575,147,187,346,437,147,346
59,7,0.3,,mean,0.5,60.034989336,0.17439941678658633,0.1592522251881024,933,243,312,250,312,243,250
60,7,0.3,,mean,0.7,60.082280605,0.17100024272650205,0.1602795696349962,662,343,437,150,187,343,150
61,8,0.01,,zero,0.3,60.00304016,0.16835521138728188,0.15778005546362647,1376,147,187,351,437,145,348
62,8,0.01,,zero,0.5,60.061844973,0.17599014278300015,0.15839129714354552,828,242,312,251,312,242,251
63,8,0.01,,zero,0.7,60.09485869,0.17525241495155908,0.14501012188488416,593,338,437,155,187,338,155
64,8,0.01,,mean,0.3,60.002430735,0.17142756071587867,0.16364438605729564,1390,146,187,347,437,146,347
65,8,0.01,,mean,0.5,60.004270922,0.16717009994066562,0.16493327348365303,827,246,312,247,312,246,247
66,8,0.01,,mean,0.7,60.065794326,0.16498434639915469,0.16815279878547953,594,346,437,147,187,346,147
67,8,0.05,,zero,0.3,60.017647248,0.17717799667800008,0.16140308670018352,1374,144,187,349,437,143,350
68,8,0.05,,zero,0.5,60.029007039,0.17477204282645536,0.15766062680563045,814,242,312,251,312,242,251
69,8,0.05,,zero,0.7,60.025220486,0.1688601108837046,0.16105352199377262,587,342,437,149,187,344,149
70,8,0.05,,mean,0.3,60.018564837,0.1723706691462786,0.16493909390031647,1358,146,187,347,437,146,347
71,8,0.05,,mean,0.5,60.006338601,0.15157956234438014,0.1806878093829829,818,254,312,239,312,254,239
72,8,0.05,,mean,0.7,60.100065549,0.15864033309005038,0.18348568299848453,582,351,437,142,187,351,142
73,8,0.1,,zero,0.3,60.01170376,0.18351696966951145,0.15998436248436396,1389,142,187,351,437,142,351
74,8,0.1,,zero,0.5,60.0002937,0.1703932716236273,0.1629533442917245,834,245,312,248,312,245,248
75,8,0.1,,zero,0.7,60.020101865,0.16447395532325917,0.17189425332791408,585,347,437,146,187,347,146
76,8,0.1,,mean,0.3,60.004180829,0.18670230501922097,0.16505584547276783,1374,141,187,352,437,141,352
77,8,0.1,,mean,0.5,60.020890477,0.15246788095685135,0.1832354754716151,829,254,312,239,312,254,239
78,8,0.1,,mean,0.7,60.083566388,0.164362227638368,0.17123914964668543,582,347,437,146,187,347,146
79,8,0.2,,zero,0.3,60.036717518,0.17223542787817406,0.16459433556848121,1380,146,187,347,437,146,347
80,8,0.2,,zero,0.5,60.022195648,0.1650322565065425,0.1700875680540569,814,248,312,245,312,248,245
81,8,0.2,,zero,0.7,60.09404452,0.1746760946838166,0.15763659048250775,587,340,437,153,187,340,153
82,8,0.2,,mean,0.3,60.028461658,0.17644660576334315,0.16367133666505257,1395,145,187,348,437,145,348
83,8,0.2,,mean,0.5,60.040106278,0.1738130451929579,0.1592424348849954,829,243,312,250,312,243,250
84,8,0.2,,mean,0.7,60.003301419,0.17248490899592817,0.1558482192935213,584,342,437,151,187,342,151
85,8,0.3,,zero,0.3,60.003271869,0.1663070379334833,0.1665483786604015,1382,148,187,345,437,148,345
86,8,0.3,,zero,0.5,60.032341341,0.18269659714124134,0.154177934192066,831,240,312,253,312,240,253
87,8,0.3,,zero,0.7,60.057858393,0.1686039869818944,0.17279333378858178,591,347,437,146,187,347,146
88,8,0.3,,mean,0.3,60.03857425,0.18986138448214573,0.16406975528196127,1394,141,187,352,437,141,352
89,8,0.3,,mean,0.5,60.05627385,0.17468217326432264,0.15732019238846445,826,241,312,251,312,242,251
90,8,0.3,,mean,0.7,60.072709952,0.17533333885050698,0.14882880102186183,587,340,437,153,187,340,153
91,9,0.01,,zero,0.3,60.027287437,0.1792928947109394,0.16077078705452935,1237,143,187,350,437,143,350
92,9,0.01,,zero,0.5,60.061210936,0.15934165706209882,0.17329798512218036,741,250,312,243,312,250,243
93,9,0.01,,zero,0.7,60.059792548,0.16238642142163157,0.1744721719976961,526,348,437,145,187,348,145
94,9,0.01,,mean,0.3,60.010579865,0.15879155624144584,0.1691468867272351,1216,150,187,343,437,150,343
95,9,0.01,,mean,0.5,60.042354924,0.17514227817202185,0.1597808503287647,742,242,312,250,312,243,250
96,9,0.01,,mean,0.7,60.09750247,0.15805791458478252,0.18447590064028596,518,351,437,142,187,351,142
97,9,0.05,,zero,0.3,60.044806837,0.1653986552014017,0.16688980150283403,1229,148,187,345,437,148,345
98,9,0.05,,zero,0.5,60.00257803,0.151874185422374,0.18156118340522398,741,254,312,239,312,254,239
99,9,0.05,,zero,0.7,60.078700975,0.17223924198655535,0.1579534469669958,524,341,437,150,187,341,152
100,9,0.05,,mean,0.3,60.031868136,0.17487682863820836,0.16240227354582976,1241,145,187,348,437,145,348
101,9,0.05,,mean,0.5,60.054603545,0.15830575382604534,0.17546484947066465,741,251,312,242,312,251,242
102,9,0.05,,mean,0.7,60.004898172,0.16940869942226064,0.15891467315521385,514,343,437,150,187,343,150
103,9,0.1,,zero,0.3,60.039904828,0.1714687675550502,0.16319258438885803,1220,146,187,347,437,146,347
104,9,0.1,,zero,0.5,60.080899764,0.1567499820394082,0.1777811454797097,720,252,312,241,312,252,241
105,9,0.1,,zero,0.7,60.061625947,0.16387794956854457,0.17471295528820646,520,347,437,146,187,347,146
106,9,0.1,,mean,0.3,60.020943306,0.13555125933835288,0.18549482044169383,1209,157,187,336,437,157,336
107,9,0.1,,mean,0.5,60.040200298,0.16509816384292544,0.16901963154656466,745,248,312,245,312,248,245
108,9,0.1,,mean,0.7,60.07323598,0.16871898818957518,0.16217802001732648,519,344,437,149,187,344,149
109,9,0.2,,zero,0.3,60.010884634,0.18562078680598088,0.16109444860627703,1224,142,187,351,437,142,351
110,9,0.2,,zero,0.5,60.015054534,0.17261229251958862,0.1636317488362927,734,244,312,249,312,244,249
111,9,0.2,,zero,0.7,60.01412693,0.17381490908424277,0.153924324076404,512,341,437,152,187,341,152
112,9,0.2,,mean,0.3,60.029210016,0.14959059811237072,0.17655117024334593,1229,153,187,340,437,153,340
113,9,0.2,,mean,0.5,60.048021211,0.1710390305541943,0.1644813508731394,735,245,312,247,312,245,248
114,9,0.2,,mean,0.7,60.032800894,0.16565425890563748,0.17457379878977214,525,348,437,145,187,348,145
115,9,0.3,,zero,0.3,60.006591559,0.167656695307066,0.1662053014560626,1245,148,187,345,437,148,345
116,9,0.3,,zero,0.5,60.03734548,0.170945846752782,0.16412174411040695,735,243,312,248,312,245,248
117,9,0.3,,zero,0.7,60.017518262,0.17776821408860988,0.14001606897824348,510,337,437,156,187,337,156
118,9,0.3,,mean,0.3,60.010638334,0.15439790732882452,0.1718385530905204,1240,152,187,341,437,152,341
119,9,0.3,,mean,0.5,60.07318095,0.14777909768120176,0.18689954748705248,723,257,312,236,312,257,236
120,9,0.3,,mean,0.7,60.090664797,0.16304486333756013,0.17696805932414802,528,349,437,144,187,349,144
121,10,0.01,,zero,0.3,60.033552572,0.1427251764474415,0.17881103139404825,1122,155,187,338,437,155,338
122,10,0.01,,zero,0.5,60.040342099,0.1682221701532943,0.16233752620511036,665,245,312,248,312,245,248
123,10,0.01,,zero,0.7,60.023205627,0.1658459416002372,0.16739465365524486,468,346,437,147,187,346,147
124,10,0.01,,mean,0.3,60.048643708,0.14504745158350144,0.17595763396100686,1114,154,187,339,437,154,339
125,10,0.01,,mean,0.5,60.077590278,0.14534793409824778,0.1898583009224491,668,257,312,236,312,257,236
126,10,0.01,,mean,0.7,60.07544031,0.17801715850600874,0.1397627633430914,472,336,437,157,187,336,157
